Parti,Nombre de sièges,Nombre de voix,cpas,date,election
ECOLO,,584,Comines-Warneton,2000,conseils-communaux
P.S.,3.0,2089,Comines-Warneton,2000,conseils-communaux
P.R.L.M.C.C.,2.0,1938,Comines-Warneton,2000,conseils-communaux
ACTION,6.0,4170,Comines-Warneton,2000,conseils-communaux
L.B.,8.0,2117,Drogenbos,2000,conseils-communaux
ACCENT,1.0,493,Drogenbos,2000,conseils-communaux
R.A.L.,5.0,1328,Fourons,2000,conseils-communaux
VOERBL,4.0,1140,Fourons,2000,conseils-communaux
KZOOO,1.0,1407,Kraainem,2000,conseils-communaux
L.B.M.,2.0,1602,Kraainem,2000,conseils-communaux
UNION,6.0,3312,Kraainem,2000,conseils-communaux
L.B.,7.0,1985,Linkebeek,2000,conseils-communaux
L.K.2000,2.0,712,Linkebeek,2000,conseils-communaux
IC-GB,7.0,5559,Rhode-Saint-Genese,2000,conseils-communaux
SAMEN,4.0,3837,Rhode-Saint-Genese,2000,conseils-communaux
ECOLOR,,489,Rhode-Saint-Genese,2000,conseils-communaux
AGALEV,,690,Wemmel,2000,conseils-communaux
VLAAMS BLOK,,799,Wemmel,2000,conseils-communaux
L.B.,7.0,4994,Wemmel,2000,conseils-communaux
W.E.M.M.E.L.,2.0,2113,Wemmel,2000,conseils-communaux
GE-EC,1.0,1402,Wezembeek-Oppem,2000,conseils-communaux
D.W.O.,1.0,1238,Wezembeek-Oppem,2000,conseils-communaux
LB-UF,7.0,4012,Wezembeek-Oppem,2000,conseils-communaux
ECOLEV,,414,Wezembeek-Oppem,2000,conseils-communaux
