Parti,Nombre de sièges,Nombre de voix,province,date,election
CVP,9.0,251207,Anvers,1995,parlement-flamand
SP,6.0,188667,Anvers,1995,parlement-flamand
VLD,6.0,168075,Anvers,1995,parlement-flamand
AGALEV,3.0,95729,Anvers,1995,parlement-flamand
VU,2.0,80604,Anvers,1995,parlement-flamand
VLAAMS BLOK,7.0,193776,Anvers,1995,parlement-flamand
VVP,,2133,Anvers,1995,parlement-flamand
PVDA-AE,,8436,Anvers,1995,parlement-flamand
B.E.B,,2391,Anvers,1995,parlement-flamand
UNIE,,1096,Anvers,1995,parlement-flamand
BANAAN,,9581,Anvers,1995,parlement-flamand
HOERA,,5061,Anvers,1995,parlement-flamand
N.W.P.,,1256,Anvers,1995,parlement-flamand
W.O.W.,,5972,Anvers,1995,parlement-flamand
WOW,,14096,Anvers,1995,parlement-flamand
D,,1362,Anvers,1995,parlement-flamand
A.O.V.,,380,Anvers,1995,parlement-flamand
W.I.T.,,1617,Anvers,1995,parlement-flamand
PSP,,986,Anvers,1995,parlement-flamand
RVM,,608,Anvers,1995,parlement-flamand
BEBEL,,832,Anvers,1995,parlement-flamand
CVP,5.0,147509,Brabant flamand,1995,parlement-flamand
SP,4.0,113680,Brabant flamand,1995,parlement-flamand
VLD,5.0,132934,Brabant flamand,1995,parlement-flamand
AGALEV,1.0,40386,Brabant flamand,1995,parlement-flamand
VU,2.0,67866,Brabant flamand,1995,parlement-flamand
VLAAMS BLOK,2.0,65698,Brabant flamand,1995,parlement-flamand
VVP,,1078,Brabant flamand,1995,parlement-flamand
PVDA-AE,,2405,Brabant flamand,1995,parlement-flamand
UNIE,,2479,Brabant flamand,1995,parlement-flamand
BANAAN,,6084,Brabant flamand,1995,parlement-flamand
HOERA,,2272,Brabant flamand,1995,parlement-flamand
N.W.P.,,821,Brabant flamand,1995,parlement-flamand
W.O.W.,,1324,Brabant flamand,1995,parlement-flamand
WOW,,4808,Brabant flamand,1995,parlement-flamand
UF,1.0,44053,Brabant flamand,1995,parlement-flamand
CVP,8.0,229558,Flandre occidentale,1995,parlement-flamand
SP,5.0,154488,Flandre occidentale,1995,parlement-flamand
VLD,5.0,156003,Flandre occidentale,1995,parlement-flamand
AGALEV,,45291,Flandre occidentale,1995,parlement-flamand
VU,2.0,59366,Flandre occidentale,1995,parlement-flamand
VLAAMS BLOK,2.0,60164,Flandre occidentale,1995,parlement-flamand
VVP,,797,Flandre occidentale,1995,parlement-flamand
PVDA-AE,,2637,Flandre occidentale,1995,parlement-flamand
BANAAN,,7032,Flandre occidentale,1995,parlement-flamand
HOERA,,2764,Flandre occidentale,1995,parlement-flamand
N.W.P.,,1228,Flandre occidentale,1995,parlement-flamand
W.O.W.,,8676,Flandre occidentale,1995,parlement-flamand
WOW,,1596,Flandre occidentale,1995,parlement-flamand
VNP,,545,Flandre occidentale,1995,parlement-flamand
vital,,308,Flandre occidentale,1995,parlement-flamand
CVP,8.0,245148,Flandre orientale,1995,parlement-flamand
SP,6.0,169422,Flandre orientale,1995,parlement-flamand
VLD,7.0,209268,Flandre orientale,1995,parlement-flamand
AGALEV,2.0,60264,Flandre orientale,1995,parlement-flamand
VU,2.0,81458,Flandre orientale,1995,parlement-flamand
VLAAMS BLOK,3.0,100014,Flandre orientale,1995,parlement-flamand
VVP,,2716,Flandre orientale,1995,parlement-flamand
PVDA-AE,,4983,Flandre orientale,1995,parlement-flamand
B.E.B,,2888,Flandre orientale,1995,parlement-flamand
UNIE,,1021,Flandre orientale,1995,parlement-flamand
BANAAN,,8111,Flandre orientale,1995,parlement-flamand
HOERA,,3685,Flandre orientale,1995,parlement-flamand
N.W.P.,,880,Flandre orientale,1995,parlement-flamand
W.O.W.,,4184,Flandre orientale,1995,parlement-flamand
WOW,,7207,Flandre orientale,1995,parlement-flamand
CVP,5.0,137083,Limbourg,1995,parlement-flamand
SP,4.0,107446,Limbourg,1995,parlement-flamand
VLD,3.0,94982,Limbourg,1995,parlement-flamand
AGALEV,1.0,25485,Limbourg,1995,parlement-flamand
VU,1.0,48879,Limbourg,1995,parlement-flamand
VLAAMS BLOK,1.0,45587,Limbourg,1995,parlement-flamand
VVP,,638,Limbourg,1995,parlement-flamand
PVDA-AE,,3324,Limbourg,1995,parlement-flamand
BANAAN,,2893,Limbourg,1995,parlement-flamand
HOERA,,1467,Limbourg,1995,parlement-flamand
N.W.P.,,886,Limbourg,1995,parlement-flamand
W.O.W.,,3173,Limbourg,1995,parlement-flamand
WOW,,1590,Limbourg,1995,parlement-flamand
A.O.V.,,802,Limbourg,1995,parlement-flamand
